RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215 
Victory,Leopard 1,Jagdpanzer E 100,WZ-120-1G FT,Grille 15,TS-5,Manticore,CS-59,Char Futur 4,Rheinmetall Skorpion G,WZ-111 model 1-4,M26 Pershing,Object 777 Version II,T77,Caernarvon,Waffenträger auf Pz. IV,Waffenträger auf Pz. IV,XM551 Sheridan,SU-130PM,M103,STB-1,Strv 103B,T34,Char Futur 4,TNH 105/1000,ISU-152,M46 Patton,FV4005 Stage II,Progetto C50 mod. 66,Ferdinand,STA-1
Victory,K-91,STB-1,T95/FV4201 Chieftain,Object 261,Object 268 Version 4,STB-1,Object 430U,Panhard EBR 105,T110E4,Strv 103B,T110E5,FV4005 Stage II,Jagdpanzer E 100,Object 430U,T-62A,FV4005 Stage II,Object 268,T110E3,Strv 103B,WZ-111 model 5A,Leopard 1,Conqueror Gun Carriage,Object 430U,UDES 15/16,Panhard EBR 105,T110E4,STB-1,113,121B,Progetto M40 mod. 65
Victory,UDES 16,Объект 274а,Emil II,Type 5 Chi-Ri,T29,M56 Scorpion,AMX 13 75,LTG,SU-101,E 75,T32,Black Prince,T42,Löwe,Sturer Emil,Caliban,IS-3-II,Challenger,Progetto M35 mod 46,Progetto C50 mod. 66,Rheinmetall Skorpion,Type 61,Super Hellcat,Carro d'assalto P.88,Tiger II,FV4202,O-Ni,Type 5 Chi-Ri,AMX 13 75,WZ-131
Victory,FV304,P.44 Pantera,SU-130PM,Type 59,Super Hellcat,VK 36.01 (H),M12,Tiger I,КВ-2 (Р),Tiger I,Škoda T 25,M44,T37,Caliban,SU-100,Löwe,Tiger I,FV304,T69,IS-2,Bat.-Châtillon Bourrasque,Hummel,SU-130PM,KV-3,P.43 bis,M12,59-16,VK 36.01 (H),ARL V39,T-34-85M
Victory,Super Conqueror,T95/FV4201 Chieftain,T92 HMC,T110E4,XM551 Sheridan,Panhard EBR 105,Bat.-Châtillon 25 t,E 100,STB-1,Pz.Kpfw. VII,T110E4,T110E3,STB-1,ST-II,Leopard 1,Оbject 279,STB-1,Type 5 Heavy,T110E5,Super Conqueror,STB-1,Object 261,Manticore,T110E4,AMX 50 B,Object 430U,T110E4,Panhard EBR 105,Leopard 1,Object 140
Victory,T-50-2,105 leFH18B2,T78,Super Hellcat,Pz.Kpfw. IV Ausf. H,SU-100,Ikv 90 Typ B,T67,KV-1,SU-122-44,Grille,VK 30.01 (H),M4 Sherman,"VK 28.01 mit 10,5 cm L/28",Cromwell,105 leFH18B2,Super Hellcat,КВ-2 (Р),Dicker Max,M4 Sherman,Krupp-Steyr Waffenträger,Type 64,T-34-85M,P.43,SU-100M1,Grille,P.43,M10 RBFM,AMX 12 t,M10 RBFM
Victory,Chimera,Tiger II,T-10,Object 704,Somua SM,T30,Bat.-Châtillon Bourrasque,Jagdtiger,IS-M,Rheinmetall Skorpion G,ELC EVEN 90,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,Rheinmetall Skorpion G,Conqueror,К-91-ПТ,Object 704,T92,Tortoise,Progetto M35 mod 46,Prototipo Standard B,Object 777 Version II,T34,Rheinmetall Skorpion G,Somua SM,Rhm.-Borsig Waffenträger,CS-53,Progetto CC55 mod. 54,Cz20_ShPTK_TVP_100_mm,TNH 105/1000
Victory,Emil I,VK 100.01 (P),Ikv 65 Alt II,Tiger I,AMX AC mle. 48,P.44 Pantera,G.W. Panther,T-34-85 Rudy,M24E2 Super Chaffee,M6,Tiger I,G.W. Panther,M44,T78,SU-100,Somua SM,Škoda T 56,SU-100Y,Lorraine 40 t,S-51,M44,T-34-85,VK 36.01 (H),G.W. Panther,TS-5,Tiger I,T25 AT,Type 64,Dicker Max,O-I
Victory,Оbject 279,AMX 50 Foch B,Leopard 1,AMX 50 Foch (155),E 50 Ausf. M,Object 140,Kranvagn,E 50 Ausf. M,STB-1,T-100 LT,G.W. E 100,FV4005 Stage II,Object 260,E 100,Object 430U,AMX 50 Foch (155),E 100,Leopard 1,E 50 Ausf. M,G.W. E 100,IS-7,Object 140,Object 907,AMX 50 Foch (155),K-91,AMX 13 105,TVP T 50/51,Super Conqueror,60TP Lewandowskiego,Object 430U
Victory,Lorraine 40 t,T77,Lorraine 155 mle. 51,TS-5,Rheinmetall Skorpion G,AMX 50 100,Cz20_ShPTK_TVP_100_mm,Rhm.-Borsig Waffenträger,Bat.-Châtillon Bourrasque,IS-3,UDES 14 Alt 5,GSOR 1008,Kanonenjagdpanzer 105,T92,Panzer 58 Mutz,Bat.-Châtillon Bourrasque,SU-130PM,IS-6,G.W. Tiger (P),AT 15,Bisonte C45,TS-5,M48A2 Räumpanzer,GSOR 1008,STA-1,Object 252U,Rheinmetall Skorpion G,ELC EVEN 90,Cz20_ShPTK_TVP_100_mm,Löwe
Victory,Progetto M35 mod 46,Conqueror,Cz20_ShPTK_TVP_100_mm,AE Phase I,IS-3-II,Объект 274а,К-91-ПТ,Rheinmetall Skorpion G,IS-3A,Charioteer,Type 59,Prototipo Standard B,Progetto M35 mod 46,Object 416,ELC EVEN 90,AE Phase I,ISU-152K,WZ-111 model 1-4,Rheinmetall Skorpion,VK 75.01 (K),122 TM,Char Futur 4,Progetto M35 mod 46,Waffenträger auf Pz. IV,Rheinmetall Skorpion G,M-VI-Y,Centurion Mk. 5/1 RAAC,Kampfpanzer 07 RH,Bat.-Châtillon Bourrasque,ELC EVEN 90
Victory,Object 703 II,CS-52,Škoda T 25,M36 Jackson,Strv m/42-57 Alt A.2,Super Hellcat,T71 CMCD,KV-1S,WZ-120-1G FT,VK 30.02 (D),Lorraine 155 mle. 50,Strv S1,Jagdpanther,FV304,MT-25,Lorraine 40 t,Tiger II,VK 30.02 (D),WZ-111-1G FT,SU-100,Panther,S-51,AMX 13 F3 AM,Churchill VII,Rheinmetall Skorpion G,T37,Ikv 90 Typ B,AMX 13 75,M36 Jackson,VK 36.01 (H)
Victory,Leopard 1,WZ-111 model 5A,Object 277,STB-1,Kranvagn,AMX 50 Foch (155),Object 277,FV217 Badger,Conqueror Gun Carriage,STB-1,Panhard EBR 105,Progetto M40 mod. 65,TVP T 50/51,XM551 Sheridan,Object 268,Object 260,Jagdpanzer E 100,Object 260,Progetto M40 mod. 65,Bat.-Châtillon 25 t,60TP Lewandowskiego,IS-7,Object 268 Version 4,TVP T 50/51,Panhard EBR 105,Object 430U,Conqueror Gun Carriage,T-100 LT,Grille 15,CS-63
Defeat,STB-1,Jagdpanzer E 100,E 100,Object 430U,FV4005 Stage II,STB-1,IS-7,STB-1,Progetto M40 mod. 65,Manticore,Kranvagn,60TP Lewandowskiego,Grille 15,T-100 LT,Leopard 1,UDES 15/16,T-62A,121,Jagdpanzer E 100,Kranvagn,E 100,STB-1,STB-1,60TP Lewandowskiego,Manticore,Vz. 55,Grille 15,XM551 Sheridan,T110E4,TVP T 50/51
Defeat,KV-2,T-34-85M,IS,Tiger I,T29,SU-100,T-34-85M,Krupp-Steyr Waffenträger,Vz. 44-1,Škoda T 25,Super Hellcat,Sherman VC Firefly,T-34-85M,Panhard AMD 178B,T-50-2,Tiger (P),KV-1S,AT 7,AMX 12 t,Tiger I,WZ-131G FT,KV-1S,IS,VK 30.02 (M),Type 5 Chi-Ri,M18 Hellcat,Panhard AMD 178B,Cromwell B,T-34-85M,VK 30.02 (D)
Victory,CS-52,Object 277,T95/FV4201 Chieftain,Bat.-Châtillon Bourrasque,Progetto M40 mod. 65,Caliban,M54 Renegade,Rheinmetall Skorpion G,Object 263,Char Futur 4,Progetto C50 mod. 66,STA-2,T-54 ltwt.,GSOR3301 AVR FS,ST-I,T30,Progetto M40 mod. 65,Kampfpanzer 50 t,Cz20_ShPTK_TVP_100_mm,M54 Renegade,Progetto M35 mod 46,T49,Object 277,E 100,AE Phase I,AE Phase I,Bat.-Châtillon Bourrasque,Spähpanzer Ru 251,Bat.-Châtillon Bourrasque,Tiger II
Victory,Kranvagn,STB-1,AE Phase I,AE Phase I,AMX 13 90,Progetto C50 mod. 66,AE Phase I,AMX 50 Foch,Оbject 279,GSOR3301 AVR FS,Grille 15,T110E4,Object 263,Škoda T 50,TNH T Vz. 51,FV4005 Stage II,Object 277,T110E4,AE Phase I,Tortoise,AE Phase I,E 50 Ausf. M,T-10,К-91-ПТ,T54E1,AMX 13 90,Škoda T 50,WZ-132A,60TP Lewandowskiego,AE Phase I
Victory,121,Kranvagn,Kampfpanzer 07 RH,Cz20_ShPTK_TVP_100_mm,122 TM,STB-1,ASTRON Rex 105 mm,Waffenträger auf Pz. IV,Strv K,Object 263,E 75 TS,M-VI-Y,WZ-132,WZ-120-1G FT,Bat.-Châtillon Bourrasque,T30,Kirovets-1,Progetto M40 mod. 65,Progetto M35 mod 46,M46 Patton,Leopard 1,Object 263,T-34-2,T95/FV4201 Chieftain,TS-5,Rheinmetall Skorpion G,STG Guard,HWK 30,AE Phase I,Somua SM
Victory,Hotchkiss EBR,AMX 13 75,T78,Cromwell B,StuG III Ausf. G,M41 HMC,Heavy Tank No. VI,ARL V39,Super Hellcat,M4 Sherman,Super Hellcat,VK 30.01 (H),AMX ELC bis,Grille,T-34-85,M56 Scorpion,T-34-85,Hotchkiss EBR,ARL 44,StuG III Ausf. G,Pz.Kpfw. IV Ausf. H,M4A1 FL 10,Super Hellcat,Type 62,Jagdpanzer IV,T-34-85M,M41 HMC,M10 Wolverine,AMX ELC bis,Grille
Victory,ELC EVEN 90,UDES 16,Concept 1B,Prototipo Standard B,P.44 Pantera,Char Futur 4,Rheinmetall Skorpion,Turtle Mk. I,Bisonte C45,Progetto M35 mod 46,M53/M55,GSOR 1008,Tortoise,TS-5,ELC EVEN 90,T30,Rheinmetall Skorpion G,Bat.-Châtillon 155 55,Progetto M35 mod 46,GSOR 1008,Char Futur 4,UDES 03,Löwe,Jagdtiger,Bat.-Châtillon Bourrasque,ELC EVEN 90,Indien-Panzer,Škoda T 50,Progetto C50 mod. 66,M41D
Victory,Object 703 II,SU-101,KV-3,T25/2,T25/2,Rheinmetall Skorpion,Nashorn,T-34-85M,T29,AMX 12 t,Krupp-Steyr Waffenträger,Sturer Emil,M18 Hellcat,Bretagne Panther,MT-25,Rheinmetall Skorpion,T78,53TP Markowskiego,TS-5,E 25,Super Hellcat,Panther/M10,"VK 28.01 mit 10,5 cm L/28",SU-100Y,Tiger I,M4A3E8 Sherman,M18 Hellcat,Type 64,KV-3,E 25
Victory,Pawlack Tank,ARL V39,VK 30.01 (H),P.43,T-34-85M,T67,Škoda T 25,VK 30.01 (H),105 leFH18B2,VK 16.02 Leopard,M41 HMC,AT 2,AMX 12 t,T1 Heavy Tank,VK 30.01 (H),KV-2,Heavy Tank No. VI,M10 RBFM,M18 Hellcat,VK 16.02 Leopard,M10 Wolverine,VK 30.01 (H),Valiant,"VK 28.01 mit 10,5 cm L/28",105 leFH18B2,Cromwell B,Type T-34,VK 30.01 (H),VK 30.01 (H),SU-122A
Victory,AMX 13 75,Strv S1,KV-1S,Pawlack Tank,T-34-85M,Jagdpanther,Emil I,KV-4 Kreslavskiy,Tiger I,UDES 03,Škoda T 25,Strv 74,IS,M18 Hellcat,AMX 12 t,Emil I,T-34-85M,T-34-85,Rheinmetall Skorpion,ISU-152K,P.43 ter,Škoda T 25,M6,M18 Hellcat,KV-1S,T-50-2,IS-2,IS-5 (Object 730),T71 CMCD,IS-2M
Victory,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,WZ-132,Strv S1,Indien-Panzer,Cz20_ShPTK_TVP_100_mm,AMX 50 100,IS-2-II,Progetto M35 mod 46,ISU-152,M26 Pershing,Škoda T 56,Tiger II,G.W. Tiger (P),SU-130PM,T-44-100,Charlemagne,SU-130PM,T28 Prototype,Caliban,Somua SM,Tiger II,Škoda T 27,Cz20_ShPTK_TVP_100_mm,Charioteer,ELC EVEN 90,FV207,Progetto M35 mod 46,Indien-Panzer,SU-130PM
Victory,Bat.-Châtillon Bourrasque,Conqueror,Panhard EBR 105,FV4005 Stage II,Progetto M35 mod 46,Object 777 Version II,Progetto M35 mod 46,Progetto C50 mod. 66,Grille 15,T30,AMX Canon d'assaut 105,ELC EVEN 90,FV4005 Stage II,Leopard Prototyp A,LT-432,Panhard EBR 105,Emil II,Type 61,Object 268 Version 4,Bat.-Châtillon 25 t AP,AMX 50 Foch (155),Jagdpanzer E 100,ELC EVEN 90,T30,Tiger II,AE Phase I,Rheinmetall Skorpion G,122 TM,Progetto M35 mod 46,LT-432
Victory,M10 RBFM,M10 RBFM,Pz.Sfl. IC,T1 Heavy Tank,Matilda Black Prince,Pz.Kpfw. IV hydrostat.,M8A1,Cavalier,P26/40,BT-7,T6 Medium,ST vz. 39,Pz.Kpfw. III Ausf. J,Pz.Kpfw. III Ausf. J,T-34 L11,StuG III Ausf. G,T1 Heavy Tank,P26/40,ST vz. 39,Matilda Black Prince,Pz.Kpfw. V/IV,Pz.Kpfw. II Luchs,M8A1,M4 Sherman,Pz.Kpfw. III Ausf. J,Strv m/42,T6 Medium,StuG III Ausf. B,Matilda,SU-76M
Victory,Progetto M35 mod 46,IS-3A,AT 8,P.44 Pantera,SU-122-44,STA-2,M36 Jackson,M18 Hellcat,Tiger I,SU-152,GSR 3301 Setter,Pawlack Tank,Panhard AMD 178B,T-34-85,IS,Sturer Emil,AMX 13 75,Tiger I,Tiger II,Bat.-Châtillon Bourrasque,Panhard AMD 178B,M-II-Y,Panther II,STA-1,KV-1S,Excalibur,AT 7,M4A3E8 Thunderbolt VII,VK 36.01 (H),SU-100Y
Victory,Caernarvon,SU-130PM,Object 252U,M40/M43,Chimera,Cz20_ShPTK_TVP_100_mm,M46 Patton KR,Kampfpanzer 07 RH,53TP Markowskiego,T-44-100,Bat.-Châtillon Bourrasque,M41 Walker Bulldog,FV1066 Senlac,Bat.-Châtillon 12 t,ISU-152,Cz20_ShPTK_TVP_100_mm,Progetto M35 mod 46,AMX AC mle. 48,T-44-100,HWK 12,AltProto AMX 30,Object 416,Lorraine 155 mle. 51,VK 100.01 (P),Bofors Tornvagn,T-44,M41 Walker Bulldog,VK 45.02 (P) Ausf. A,T28 Prototype,Bat.-Châtillon 12 t
Defeat,AMX 30 B,Оbject 279,AMX M4 mle. 51,Object 257,Leopard Prototyp A,AMX 50 Foch B,Emil II,XM551 Sheridan,Grille 15,Leopard Prototyp A,Bat.-Châtillon 25 t AP,E 50,Leopard Prototyp A,CS-59,Object 704,T 55A,Object 430U,Kunze Panzer,Char Futur 4,AMX 30 1er prototype,Strv 103-0,T-100 LT,T30,Leopard Prototyp A,FV4005 Stage II,E 100,Progetto C50 mod. 66,Leopard Prototyp A,Conqueror,IS-7
Defeat,Conqueror,UDES 15/16,Progetto M40 mod. 65,Cobra,К-91-ПТ,Char Futur 4,T110E3,TNH T Vz. 51,Char Futur 4,Waffenträger auf Pz. IV,TNH T Vz. 51,E 100,FV3805,E 100,Type 61,Оbject 279,T95/FV4201 Chieftain,T30,Char Futur 4,Kunze Panzer,T110E4,Strv 103B,STB-1,Emil II,VK 45.02 (P) Ausf. B,WZ-120,Emil II,Bat.-Châtillon 155 55,Škoda T 50,Prototipo Standard B
Victory,T-34-2,TVP T 50/51,TNH T Vz. 51,Leopard Prototyp A,Rheinmetall Skorpion,Object 704,Object 430,ISU-152,STA-1,AMX 50 Foch (155),CS-53,UDES 03,Kunze Panzer,Bat.-Châtillon Bourrasque,Progetto M40 mod. 65,114 SP2,Object 140,Kampfpanzer 50 t,Rheinmetall Skorpion G,Bat.-Châtillon Bourrasque,Leopard Prototyp A,Škoda T 56,Cobra,TS-5,Bat.-Châtillon Bourrasque,Char Futur 4,Leopard 1,T95,Rhm.-Borsig Waffenträger,FV4202
Defeat,M4A3E8 Thunderbolt VII,T-34-85M,T-34-85M,VK 28.01,Sherman VC Firefly,Type 64,Strv m/42-57 Alt A.2,A-43,Pawlack Tank,P.43 bis,FV304,T-150,Nashorn,AMX 12 t,MT-25,T-34-85M,M44,T-34-85M,Excalibur,T-150,Type 64,P.43 bis,M18 Hellcat,Škoda T 25,KV-2,"VK 28.01 mit 10,5 cm L/28",T-50-2,Cromwell,T37,VK 30.01 (P)
Defeat,T-100 LT,IS-7,Leopard 1,Object 261,G.W. E 100,Rinoceronte,Grille 15,Object 140,T110E4,TVP T 50/51,Type 5 Heavy,Object 430U,T110E4,Panhard EBR 105,FV4005 Stage II,Leopard 1,TVP T 50/51,M48A5 Patton,Grille 15,G.W. E 100,Vz. 55,E 100,Object 261,STB-1,Manticore,AMX 50 Foch (155),T110E4,Object 705A,T110E4,Panhard EBR 105
Victory,Panhard EBR 105,Vz. 55,STB-1,121,Strv 103B,Maus,114 SP2,STB-1,FV215b,E 100,T-100 LT,G.W. E 100,Leopard 1,FV4005 Stage II,60TP Lewandowskiego,Оbject 279,121B,AMX 50 Foch (155),Leopard 1,Vz. 55,E 100,Strv 103B,Manticore,Panhard EBR 105,Grille 15,T110E5,Leopard 1,Object 261,STB-1,IS-4
Victory,AE Phase I,Kunze Panzer,Bat.-Châtillon 25 t AP,Panhard EBR 75 (FL 10),M53/M55,CS-53,Tortoise,SU-14-2,122 TM,Object 777 Version II,50TP Tyszkiewicza,SU-130PM,Progetto CC55 mod. 54,Rhm.-Borsig Waffenträger,Progetto CC55 mod. 54,Waffenträger auf Pz. IV,T77,Concept 1B,Conqueror,122 TM,T-54,Bat.-Châtillon 155 55,ISU-152K,M40/M43,Progetto M35 mod 46,Strv S1,Kunze Panzer,Mäuschen,Panhard EBR 75 (FL 10),Progetto CC55 mod. 54
Victory,Škoda T 25,KV-2,Jagdpanzer IV,T67,SU-8,59-16,M41 HMC,T-34-85M,Strv m/42,M10 RBFM,KV-1,Strv m/42,VK 16.02 Leopard,M24 Chaffee,VK 30.01 (H),105 leFH18B2,P.43 bis,AMX ELC bis,Hummel,"VK 28.01 mit 10,5 cm L/28",VK 30.01 (H),M18 Hellcat,KV-1,Pz.Kpfw. IV Ausf. H,M10 RBFM,KV-2,M24 Chaffee,M10 RBFM,T-34-85M,M4 Sherman
Victory,"VK 28.01 mit 10,5 cm L/28",T67,Super Hellcat,M44,Tiger I,M-II-Y,VK 30.02 (M),KV-1,VK 30.01 (P),Super Hellcat,VK 16.02 Leopard,Covenanter,VK 30.01 (H),Type 64,M10 RBFM,SU-8,Bretagne Panther,Super Hellcat,Type 64,Sturer Emil,O-I Experimental,KV-3,45TP Habicha,Pudel,M10 RBFM,M24 Chaffee,StuG III Ausf. G,VK 16.02 Leopard,T37,O-I Experimental
Victory,M40/M43,AE Phase I,T-44-100,Rhm.-Borsig Waffenträger,Turtle Mk. I,Progetto C50 mod. 66,Charioteer,Object 257,SU-14-2,Object 705,Prototipo Standard B,Turtle Mk. I,M103,ELC EVEN 90,M4A1 Revalorisé,Cz20_ShPTK_TVP_100_mm,Object 257,Kanonenjagdpanzer 105,Leopard Prototyp A,Object 257,G.W. Tiger (P),T54E1,WZ-114,Bat.-Châtillon Bourrasque,Progetto M35 mod 46,SU-14-2,E 75,M41 Walker Bulldog,Rheinmetall Skorpion,Strv S1
Defeat,Progetto M35 mod 46,Progetto M35 mod 46,Progetto M35 mod 46,122 TM,Škoda T 56,Caliban,SU-130PM,AMX Canon d'assaut 105,Rheinmetall Skorpion,Indien-Panzer,VK 168.01 (P),Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,leKpz M 41 90 mm GF,Löwe,Škoda T 56,50TP prototyp,ISU-152K,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,FV4202,STA-1,IS-3,Progetto M35 mod 46,Strv S1,Lorraine 40 t,Bofors Tornvagn,WZ-120-1G FT,"Panther mit 8,8 cm L/71",LT-432
Victory,T26E5 Patriot,Tiger I,Object 244,M56 Scorpion,Strv m/42-57 Alt A.2,Super Hellcat,Rheinmetall Skorpion,T20,VK 36.01 (H),ISU-152,VK 36.01 (H),Type 5 Chi-Ri,Bat.-Châtillon Bourrasque,M24E2 Super Chaffee,T-34-85,Škoda T 56,B.U.G.I.,Tiger I,T28 Prototype,Škoda T 25,Krupp-Steyr Waffenträger,TL-1 LPC,VK 36.01 (H),Cz20_ShPTK_TVP_100_mm,Vz. 44-1,VK 36.01 (H),Leo,Škoda T 25,Type 64,Jagdpanther
Victory,TS-5,Rheinmetall Skorpion G,IS-2M,Panther,Super Hellcat,Lansen C,M12,M44,Hummel,VK 30.02 (M),VK 36.01 (H),E 25,M18 Hellcat,Super Hellcat,P.43 bis,T-103,M26 Pershing,G.W. Panther,Panther,M44,M18 Hellcat,Carro d'assalto P.88,UDES 03,VK 36.01 (H),Super Hellcat,Super Hellcat,P.43 bis,E 25,SU-8,B.U.G.I.
Victory,Char Futur 4,TVP T 50/51,TVP T 50/51,T110E4,Char Futur 4,Bat.-Châtillon 155 58,AMX 50 Foch (155),Object 430,Object 257,Cobra,Tortoise,M103,T-54,T49,Grille 15,Char Futur 4,Object 907,FV217 Badger,Conqueror Gun Carriage,121,Conqueror,Char Futur 4,Strv 103B,Char Futur 4,Prototipo Standard B,Tortoise,T-54 ltwt.,Object 268,UDES 16,T-10
Victory,Löwe,T-54 ltwt.,UDES 14 Alt 5,Löwe,E 75 TS,T49,Object 430,Strv 103-0,Rheinmetall Skorpion G,AMX 50 Foch,Progetto M35 mod 46,Progetto M35 mod 46,ELC EVEN 90,Progetto M35 mod 46,Rheinmetall Skorpion,Progetto M35 mod 46,Progetto M35 mod 46,T49,Rheinmetall Skorpion G,T49,Jagdtiger,Centurion Mk. I,Waffenträger auf Pz. IV,Prototipo Standard B,Rheinmetall Skorpion G,IS-M,IS-6,ELC EVEN 90,AMX 50 100,STA-1
Victory,Tiger II,Char Futur 4,TS-5,Bat.-Châtillon 25 t,Object 430U,T-100 LT,M-III-Y,M53/M55,Type 61,Cobra,E 75,Object 261,AMX 50 100,T-44,M41 Walker Bulldog,XM551 Sheridan,121B,E 50 Ausf. M,Bat.-Châtillon 155 58,WZ-120-1G FT,Object 252U Defender,Löwe,T 55A,Char Futur 4,WZ-132,M53/M55,Leopard Prototyp A,Emil II,Škoda T 27,Škoda T 56
Victory,STB-1,STB-1,Leopard 1,Vz. 55,Object 430U,T110E4,Kranvagn,Strv 103B,XM551 Sheridan,FV215b,G.W. E 100,Rinoceronte,FV4005 Stage II,E 100,Object 430U,Object 430U,Jagdpanzer E 100,Bat.-Châtillon 25 t,Object 268 Version 4,Grille 15,Kranvagn,FV217 Badger,E 100,G.W. E 100,Leopard 1,AMX 50 B,Object 705A,Object 430U,M48A5 Patton,Manticore
Victory,VK 168.01 (P),Bat.-Châtillon Bourrasque,Tiger I,Emil I,GSOR 1008,Rheinmetall Skorpion G,Strv S1,T20,M12,Progetto M35 mod 46,Super Hellcat,T71 CMCD,Comet,AMX 13 57,FV201 (A45),Cz20_ShPTK_TVP_100_mm,O-Ni,Rheinmetall Skorpion,Kampfpanzer 07 RH,Panther,Progetto M35 mod 46,Bat.-Châtillon Bourrasque,GSOR 1008,AMX 13 75,AMX 13 57 GF,Vz. 44-1,Tiger I,Lorraine 155 mle. 50,Bisonte C45,Super Hellcat
Victory,IS-7,FV4004 Conway,Vz. 55,AMX 50 Foch,E 100,Grille 15,Leopard Prototyp A,Object 705,Bat.-Châtillon 25 t AP,T30,AMX 50 120,T-10,Leopard Prototyp A,TVP T 50/51,Object 705,Kranvagn,Waffenträger auf Pz. IV,E 100,Bat.-Châtillon 25 t,Prototipo Standard B,T30,FV4004 Conway,M46 Patton,E 100,Leopard 1,Strv K,T30,WZ-111 model 1-4,Lorraine 50 t,T-10
Victory,STB-1,AMX 50 Foch (155),FV215b (183),Object 261,STB-1,Bat.-Châtillon 155 58,G.W. E 100,FV4005 Stage II,Object 140,T-100 LT,Vz. 55,E 100,Object 277,FV215b,Strv 103B,Object 277,FV4005 Stage II,FV4005 Stage II,T92 HMC,IS-7,T110E3,STB-1,AMX 13 105,Object 261,Vz. 55,Conqueror Gun Carriage,IS-7,E 100,TVP T 50/51,FV4005 Stage II
Victory,M36 Jackson,Pz.Kpfw. III/IV,Cromwell B,M10 RBFM,Churchill VII,KV-1,SU-8,T67,Grille,T-34-85,T14,A-20,Pz.Kpfw. IV Ausf. H,T-34,Strv m/42,Bretagne Panther,105 leFH18B2,КВ-1 screened,VK 30.01 (P),VK 30.01 (D),T67,T-34-85M,Pz.Kpfw. III/IV,StuG IV,M10 RBFM,SU-8,VK 16.02 Leopard,M4 Sherman,VK 30.01 (H),P.43
Victory,Leopard 1,60TP Lewandowskiego,T95/FV4201 Chieftain,E 50 Ausf. M,STB-1,Super Conqueror,Object 268 Version 4,Panhard EBR 105,IS-7,TVP T 50/51,STB-1,Progetto M40 mod. 65,60TP Lewandowskiego,Object 277,Jagdpanzer E 100,Object 430U,Vz. 55,Vz. 55,FV215b (183),Strv 103B,T95/FV4201 Chieftain,Leopard 1,Progetto M40 mod. 65,STB-1,T110E5,TVP T 50/51,Leopard 1,Panhard EBR 105,60TP Lewandowskiego,E 100
Victory,Manticore,Progetto M40 mod. 65,Progetto M40 mod. 65,G.W. E 100,Object 261,Object 430U,STB-1,Centurion Action X,Jagdpanzer E 100,IS-7,XM551 Sheridan,Progetto M40 mod. 65,Grille 15,Leopard 1,60TP Lewandowskiego,AMX M4 mle. 54,T95/FV4201 Chieftain,Progetto M40 mod. 65,STB-1,Grille 15,Leopard 1,Object 261,Bat.-Châtillon 155 58,TVP T 50/51,STB-1,STB-1,TVP T 50/51,XM551 Sheridan,Manticore,FV4005 Stage II
Victory,T110E5,XM551 Sheridan,Vz. 55,STB-1,T110E3,Object 430U,Kranvagn,WZ-111 model 5A,Object 430U,IS-4,Bat.-Châtillon 25 t,E 100,G.W. E 100,Grille 15,STB-1,Object 430U,Object 277,Object 907,Grille 15,T57 Heavy Tank,Object 268,Kranvagn,Conqueror Gun Carriage,WZ-111 model 5A,Object 430U,Super Conqueror,CS-63,T-100 LT,Object 705A,IS-4
Victory,Leopard 1,Grille 15,STB-1,IS-7,Leopard 1,FV4005 Stage II,Maus,E 100,Progetto M40 mod. 65,UDES 15/16,G.W. E 100,T110E5,FV217 Badger,T110E4,FV215b,Object 268 Version 4,IS-7,STB-1,Super Conqueror,T110E3,IS-7,FV215b (183),Object 261,AMX 50 B,Grille 15,Maus,Leopard 1,Leopard 1,Object 430U,T-62A
Victory,Tortoise,STB-1,E 100,Cz20_ShPTK_TVP_100_mm,Type 61,Kranvagn,FV3805,GSOR3301 AVR FS,M-III-Y,Tiger II,M46 Patton KR,Conqueror Gun Carriage,TS-5,Panhard AML Lynx 6x6,Rheinmetall Skorpion,IS-4,Centurion Mk. 7/1,T30,Cz20_ShPTK_TVP_100_mm,Cz20_ShPTK_TVP_100_mm,ISU-152K,Object 261,M53/M55,T49,Panhard AML Lynx 6x6,STB-1,Kampfpanzer 07 RH,Tiger II,Bisonte C45,Super Conqueror
Victory,T110E3,Cz20_ShPTK_TVP_100_mm,E 75,T-100 LT,Rheinmetall Skorpion G,Object 257,T30,FV215b,Bat.-Châtillon Bourrasque,Progetto M35 mod 46,STA-1,G.W. Tiger,Bat.-Châtillon 25 t,Leopard Prototyp A,IS-3,FV4005 Stage II,Vz. 55,TNH T Vz. 51,AMX 13 105,Type 61,Leopard 1,AMX 65 t,T95,Cz20_ShPTK_TVP_100_mm,M53/M55,ASTRON Rex 105 mm,P.44 Pantera,T-10,Bat.-Châtillon Bourrasque,Strv S1
